Country,Code,ContinentCode,Year,Cost of living index world average = 100,Food price index world average = 100,Fruit price index world average = 100,Vegetable price index world average = 100,Bread and cereal prices world average = 100,Milk cheese and eggs price index world average = 100,Meat price index world average = 100,Fish and seafood prices world average = 100,Alcohol beverage price index world average = 100,Clothing and footwear prices world average = 100,Housing and utilities price index world average  = 100,Furniture and household maintenance prices world average = 100,Healthcare price index world average = 100,Transport prices world average = 100,Hotel and restaurant price index world average = 100,Vehicle prices world average = 100,Communication price index world average = 100,Recreation and culture price index world average = 100,Education service price index world average = 100,Machinery and equipment prices world average = 100
Chad,TCD,AF,2021,57.35,85.82,93.58,110.71,97.02,127.44,56.06,67.21,118.33,61.46,39.92,56.3,58.57,77.26,68.04,78.81,142.4,65.94,36.25,112.11
Chile,CHL,SA,2017,105.82,120.959,83.17,164.28,125.08,137.71,113.9,116.69,92.44,141.67,127.484,107.62,94.72,92.83,104.37,101.42,111.71,92.25,62.93,95.47
Chile,CHL,SA,2021,87.68,122.41,107.24,178.15,132.77,132.26,100.38,128.87,91.25,124.31,95.26,100.33,68.9,91.3,102.05,99.79,114.97,96.79,43.3,82.07
China,CHN,AS,2017,87.94,116.157,143.34,100.55,121.62,149.34,98.55,116.05,151.73,145.88,72.189,111.24,61.64,77.9,75.24,84.95,88.92,69.23,117.38,125.41
China,CHN,AS,2021,96.1,130.41,152.51,111.98,137.9,177.36,120.97,124.03,182.11,165.8,69.21,117.43,63.77,82.15,84.71,84.3,86.15,76.87,138.22,128.04
Colombia,COL,SA,2017,68.94,89.73,69.2,80.24,114.92,96.94,81.74,131.31,107.35,86.99,69.184,69.4,45.51,75.97,60.78,105.17,100.32,67.71,24.59,115.08
Colombia,COL,SA,2021,55.1,79.15,65.88,94.65,92.91,84.98,63.07,130.53,89.88,84.85,57.84,64.11,36.02,70.02,66.68,112.18,64.93,68.78,20.23,79.86
Comoros,COM,AF,2017,70.11,114.522,69.17,130.41,119.98,171.94,102.47,115.8,191.11,82.02,43.906,73.58,45.04,78.27,62.8,116.75,82.39,71.68,20.49,121.93
Comoros,COM,AF,2021,76.31,165.12,171.84,231.03,172.44,218.55,106.89,120.51,199.79,100.79,37.12,84.22,42.25,62.2,75.26,128.22,208.06,74.34,23.52,94.77
Costa Rica,CRC,NA,2017,94.13,128.254,132.22,180.81,140.1,134.49,108.9,162.94,132.67,107.66,85.381,80.98,131.92,92.31,90.98,134.16,80.14,82.57,58.13,114.01
Costa Rica,CRC,NA,2021,89.76,124.25,133.74,156.81,143.54,145.83,93.48,170.43,138.62,100.37,67.36,74.78,128.98,83.6,89.2,114.38,112.58,90.02,67.91,104.93
Croatia,HRV,EU,2017,82.76,109.272,110.52,133.04,120.09,94.89,105.15,136.85,89.52,120.69,61.839,95.99,58.08,112.89,92.46,101.25,103.02,81.14,53.4,86.83
Croatia,HRV,EU,2021,79.63,112.03,100.45,143.5,125.94,98.79,98.6,135.28,97.93,120.56,64.5,102.77,55.22,115.86,104.93,105.26,131.22,87.31,61.78,86.69
